                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.41721,                0.34144,                0.95407,                0.93398,                0.94318,                0.97118,                0.87225,                0.47615,                0.47227,                 1.0151,               0.001307,               0.001307,               0.001307
                     37,                0.40418,                0.34747,                0.95448,                0.94596,                 0.9725,                0.98966,                0.88498,                0.46048,                0.39073,                 1.0066,              0.0012872,              0.0012872,              0.0012872
                     38,                0.42372,                0.36284,                0.96124,                0.96409,                0.96667,                0.98437,                0.89194,                0.44236,                0.32987,                 1.0002,              0.0012674,              0.0012674,              0.0012674
                     39,                0.44515,                0.35238,                0.96695,                0.95588,                0.96293,                 0.9809,                0.87462,                0.49138,                 0.3254,                 1.0348,              0.0012476,              0.0012476,              0.0012476
                     40,                0.42729,                0.35005,                0.95053,                0.93457,                0.95228,                0.97204,                0.86465,                0.46897,                0.37167,                 1.0106,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41809,                0.33718,                0.95494,                0.93514,                0.96667,                0.98048,                0.86652,                0.47374,                0.37387,                0.98621,               0.001208,               0.001208,               0.001208
                     42,                0.39858,                0.32239,                0.95216,                0.96708,                0.94444,                0.98803,                0.87872,                0.48125,                0.35591,                 1.0217,              0.0011882,              0.0011882,              0.0011882
                     43,                0.40252,                0.33751,                0.94569,                0.94333,                0.92477,                0.98252,                0.87578,                0.44234,                0.32712,                0.99303,              0.0011684,              0.0011684,              0.0011684
                     44,                0.38984,                0.32023,                0.93928,                0.87966,                0.91111,                0.95036,                0.84181,                0.46143,                0.35811,                 1.0234,              0.0011486,              0.0011486,              0.0011486
                     45,                0.40492,                 0.3368,                0.94446,                0.87699,                0.94444,                0.96389,                0.85885,                0.46192,                 0.3483,                 1.0175,              0.0011288,              0.0011288,              0.0011288
                     46,                0.40191,                0.33473,                0.95614,                0.89428,                0.93989,                0.95708,                0.85995,                0.45778,                0.40726,                 1.0008,               0.001109,               0.001109,               0.001109
                     47,                 0.3942,                0.32738,                0.95384,                0.97375,                0.93333,                0.97585,                 0.8867,                0.42612,                 0.3195,                0.96885,              0.0010892,              0.0010892,              0.0010892
                     48,                    0.4,                0.32971,                0.94749,                 0.9144,                0.85556,                0.95964,                0.85691,                0.48019,                0.51169,                 1.0281,              0.0010694,              0.0010694,              0.0010694
                     49,                0.38788,                0.31696,                0.94899,                0.96624,                 0.9541,                0.98386,                 0.8924,                0.44515,                0.29031,                 1.0024,              0.0010496,              0.0010496,              0.0010496
                     50,                0.39293,                0.30014,                0.94906,                0.93542,                0.96567,                0.97738,                0.88515,                0.43667,                0.40164,                0.98343,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.3787,                0.29726,                0.93846,                0.87486,                0.95556,                0.97102,                0.85942,                0.46431,                 0.3549,                 1.0204,                0.00101,                0.00101,                0.00101
                     52,                0.37826,                 0.3045,                0.94444,                0.91367,                0.94075,                0.95774,                0.85115,                0.48957,                0.36139,                 1.0315,              0.0009902,              0.0009902,              0.0009902
                     53,                0.37237,                0.30169,                0.94046,                0.89909,                0.95556,                0.96229,                0.84009,                0.48496,                0.33633,                 1.0169,              0.0009704,              0.0009704,              0.0009704
                     54,                0.35118,                 0.2891,                0.93804,                 0.9347,                0.95556,                0.98262,                 0.8619,                0.48687,                0.31376,                 1.0235,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.3662,                0.30445,                 0.9409,                0.88409,                0.95556,                0.96302,                0.85571,                0.45253,                0.37668,                0.99509,              0.0009308,              0.0009308,              0.0009308
                     56,                0.36107,                0.29836,                0.93962,                0.97354,                0.92222,                0.98508,                 0.8937,                0.41921,                0.29319,                0.96512,               0.000911,               0.000911,               0.000911
                     57,                0.35499,                0.29256,                0.93146,                0.93453,                0.98889,                0.98622,                0.88142,                0.46148,                0.31772,                 1.0053,              0.0008912,              0.0008912,              0.0008912
                     58,                0.37567,                0.29227,                0.93723,                0.95633,                0.97322,                0.99035,                0.89129,                0.40949,                0.37451,                0.95969,              0.0008714,              0.0008714,              0.0008714
                     59,                0.36195,                0.29829,                0.93143,                0.90544,                0.96667,                0.97424,                0.89108,                0.41945,                0.32991,                0.96589,              0.0008516,              0.0008516,              0.0008516
